"title","detailed text","publish date","topic","learn more url"
"Florida Medical Supply Company Expands Sales Around the World","Exporter:  DemeTech Corporation – Miami, FL
Destination:  Worldwide
Export Sales:  $500,000 Credit Line
Jobs Supported: 60
DemeTech Corporation, a 100-employee manufacturer of medical and surgical supplies specializing in surgical sutures, has a $500,000 Ex-Im Bank multi-buyer policy that is enabling the company to support its export sales in over 80 countries and continue expanding markets. DemeTech also uses the Export Working Capital Program of the Small Business Administration (SBA) and the services of the U.S. Commercial Service to develop markets. Multi-buyer policyholders with an Ex-Im Bank or SBA export working capital loan are eligible for a 25 percent discount off premium rates.
More than 60% of DemeTech employees are working today to fill orders supported by Ex-Im Bank. 
“We have expanded our distribution to over 80 countries, thanks in large part to Ex-Im Bank’s multi-buyer insurance. The ability to extend credit to buyers is key to our astronomical growth,” said DemeTech President and CEO Luis Arguello, Sr.  
","April 16, 2012 - 3:30pm","Multi-Buyer Insurance","http://www.exim.gov/sbgport/SB_multi.cfm" 
"Electric Motorcycle Firm Expecting to Grow with Ex-Im Support","Exporter:  Zero Motorcycles Inc. – Scotts Valley, CA
Destination:  South Africa, Brazil, Singapore
Zero Motorcycles is a small business with 48 employees, and is determined to grow its international sales.  They obtained a Bank multi-buyer insurance policy from Ex-Im in October, 2010. 
The company manufactures electric motorcycles for the street and off road. They are designed to be high performance, lightweight and fast.  Their motorcycles produce less than one-eighth of the CO2 pollution per mile than a gas-powered motorcycle. 
Zero expects Ex-Im's insurance will help them growth export sales significantly, as much as over 50% with certain buyers. 
“With all of our international deals we are forced to say cash in advance, but now we are going to be able to offer terms with Ex-Im Bank,” said Gene Banman, CEO.
","April 16, 2012 - 3:15pm","Multi-buyer Insurance ","http://www.exim.gov/sbgport/SB_multi.cfm" 
"No Deal Too Small for Ex-Im Bank","Exporter: Davex Labs LLC - Santa Monica, CA
Destination:  Russia
Export Sales:  $5,400
Davex Labs sell a line of hair care products exclusively to salon professionals and could not obtain export credit insurance to cover a $5,400 sale to Russia. Ex-Im took the risk for this single-buyer transaction and now Davex is considering a multi-buyer insurance policy to cover all of its international sales. 
Ex-Im gave Davex the same level of service and commitment we give to large companies and large transactions because no transaction is too small for our support. With 50% of its sales coming from overseas, this company intends to double sales over three years and to begin targeting Germany, Italy, China, Switzerland, and Australia.
“The ability to extend credit on international sales allows us to grow our business in existing international markets and export our products to new markets by giving our local distributors more flexibility to invest and market our products locally.  Credit terms provide our local distributors in these markets to better compete, so it makes our U.S. made products more competitive locally,” said David Berglass, CEO.
","April 16, 2012 - 3:15pm","Single-buyer Insurance","http://www.exim.gov/sbgport/SB_single.cfm" 
"Providing Affordable Seawater Desalination Worldwide","Exporter:  Energy Recovery, Inc. – San Leandro, CA
Destination:  Worldwide
Export Sales:  $7,000,000 Credit Limit
Energy Recovery, Inc. has designed and developed an innovative technology that dramatically reduces the energy required for seawater desalination by up to 60%, making desalination an affordable, sustainable option to address the world’s water crisis.
It has been an Ex-Im Bank customer since 2002, and has used export credit insurance to cover shipments to about 40 countries.
“We couldn't do it without Ex-Im Bank,"" said Chairman Hans Peter Michelet.
","April 16, 2012 - 3:00pm","Multi-buyer Environment Insurance","http://www.exim.gov/sbgport/SB_multi.cfm" 
"Ex-Im Bank's Working Capital Provides Cleveland Firm with Cash Flow to Grow Export Sales ","Exporter: A.J. Rose Manufacturing Company - Avon and Cleveland, Ohio
Destination: Germany, Mexico, Canada, Brazil and China
Jobs Supported: 19
Exports Supported: $2.7 million
Lender: PNC Bank 
The A.J. Rose Manufacturing Company was founded in 1922 by Czech immigrant, Anton J. Rose. What started as a small tool shop on the west side of Cleveland, Ohio, has grown into a leading supplier of precision-formed metal products and assemblies to the automotive, truck, and agricultural equipment industries. The company now has facilities in Cleveland and Avon, Ohio. Their parts can be found on car engines across the world.
To expand, the company needed the cash to protect its cash flow availability while growing sales to their Original Equipment Manufacturers (OEMs), especially those in Germany, Mexico, Canada and China. With Ex-Im Bank's Lender Loan Guarantee, PNC Bank was able to provide A.J. Rose Manufacturing with the three-year revolving, $1.5 million working capital loan. Export sales for 2011 are expected to be $15 million (+16% over last year) in exports. These international sales support Ohio jobs and resolved a potential cash flow problem. 
""The Ex-Im line we established has proved to be a cost effective mechanism to provide cash flow availability under our current financing arrangement. This facility has allowed us to grow our export business without an impact to our operating line availability,"" said Douglas E. Krzywicki, Chief Financial Officer. 
","April 16, 2012 - 3:00pm","Three Year Working Capital Lender Loan Guarantee of $1.5 million","http://www.exim.gov/products/loan_guar.cfm, http://www.exim.gov/products/workingcapital" 
"Export Insurance Replaces Letters of Credit and Expands New York Company ","Exporter: O-AT-KA Milk Products Cooperative, Inc – Batavia, New York
Destination: Mexico
Results: Exports Have Grown from 1% to 10% of Total Sales 
O-AT-KA, a company name taken from the Seneca Indians, makes a wide variety of dairy and non-dairy based products. In 1959, O-AT-KA received its first tanker of raw milk as it began operations with five employees. The company has now grown to 300 employees and produces and markets a wide variety of value-added dairy products that are distributed globally by Fortune 500 companies. 
In 2010, the financial group of O-AT-KA needed extended credit terms and nonpayment protection for a large customer in Mexico FEMSA Cerveza. FEMSA owns and operates about 7,492 convenient stores and in 2009 was the largest distributor of Coca-Cola products in Mexico. Meanwhile, the company wanted to increase sales by extending terms to international buyers. Ex-Im Bank's single-buyer credit insurance resolved these issues. No fee counsel and full application processing was provided by Trade Credit Insurance Agency, LLC. 
The buyer received 61 to 90 day terms while O-AT-KA obtained nonpayment protection and was able avoid expensive and time-consuming letters of credit. Exports increased from 1% of total sales to 10% and company's operations became more resource efficient with no cash required upfront to buy inventory and exports contribution to overhead costs. 
""The insurance policy has given us the confidence to ask for more orders and grow sales,"" stated Jerry Gefert, Controller. 
","April 16, 2012 - 2:45pm","Ex-Im Bank Product: Export Insurance $1 million","http://www.exim.gov/sbgport/SB_single.cfm, http://www.exim.gov/products" 
"Pennsylvania Company Growing with 16 Years of Ex-Im Support","Exporters: Aquatech International - Canonsburg, Pennsylvania
Destination:  Asia, Latin America, Middle East
Export Sales:  $42 million
Jobs Supported: 100+
Aquatech needed funds to fulfill its growing export orders so it sought Ex-Im Bank's support.  The company’s use of Ex-Im’s working capital guarantee has grown from $1 million to $42 million over a 16-year period (1994-2010) as the green technology company expanded foreign sales of industrial water and wastewater treatment products and services.  Its technology includes zero liquid discharge treatment, water reuse, and desalination.
The company has recently added export credit insurance to cover its increase in sales.
""In today's challenging global economic environment, Ex-Im Bank support of our exports gives us opportunities that we otherwise would not have. The Ex-Im Bank facility allows us to serve buyers in many different countries, like Saudi Arabia, India and China, that are less hit by recession. Exports make up 40 to 60 percent of our business, and these sales have helped us create and maintain jobs at Aquatech.  Ex-Im Bank has had a positive impact on our continued growth,"" said Venkee Sharma, President and CEO.
","April 16, 2012 - 2:45pm","Working Capital Lender Loan Guarantee","http://www.exim.gov/sbgport/SB_workcap.cfm" 
"After 147-Years, Ice Cream Company Begins Exporting with Support from Ex-Im Bank","Exporter: Bassetts – Philadelphia, Pennsylvania
Destination: China
Jobs Supported: 2
Bassetts Ice Cream Company, founded in 1861, is a full-service frozen dessert distributor to restaurants, hotels, supermarkets, dipping parlors, and caterers. Yet, it did not export until 2008 as Bassetts’ president was not comfortable selling to customers abroad without getting receivables insurance. Now, with the help of an Ex-Im Bank’s single-buyer policy, exports to China make up 20 percent of the ice cream wholesaler’s business. 
The 20-employee company is also exploring selling to the Taiwan market, has had conversations with prospects in Vietnam and Japan, and looks forward to exporting to the Bahamas.  With such a planned expansion, the company is considering Ex-Im Bank’s working capital loan guarantee product. 
""Our business is growing because of exports. This has helped us maintain jobs, and I have no doubt we will add jobs in the future."" said President Michael Strange. ""Already one of our suppliers in Johnstown, Pennsylvania, which produces our super-premium ice cream according to our recipe, has added staff to its production operation,"" 
","April 16, 2012 - 2:45pm","Single-Buyer Export Credit Insurance","http://www.exim.gov/sbgport/SB_single.cfm" 
"Pennsylvania Company Decorating Walls Around the World","Exporter: Wallquest – Wayne, Pennsylvania
Destination: 90 Foreign Buyers
Jobs Supported: 70 
Wallquest, a designer, manufacturer and distributor of consumer and commercial decorative wallcoverings, has been exporting to distributors for 30 years. Its key markets include China, Russia, Turkey, Taiwan and United Arab Emirates.
Exports started to soar and the company’s loan authorization was increased to $4,750,000 in August, 2010.  Wallquest finished 2010 with export sales over $17 million, a 61 percent increase since obtaining their first loan. During this two-year period, its work force has grown from 80 to 150. 
“Ex-Im Bank and PNC have been very useful in expanding this business,” said Controller Frank Darreff. “It has been a seamless process for us because of the relationship between Ex-Im Bank and PNC.  And it has facilitated our growth. Last year we experienced 45 percent growth, most of it from exports.”   
","April 16, 2012 - 2:30pm","Working Capital Lender Loan Guarantee ","http://www.exim.gov/products/work_cap.cfm" 
"Puerto Rican Firm Enters New Markets Due to Ex-Im Bank's Insurance","Exporter: B & B Manufacturing – Bayamon, Puerto Rico
Destination: Latin and Central America and the Caribbean
Jobs Supported: 5
B & B Manufacturing, of Bayamon, Puerto Rico, manufactures wiring and electronic equipment for motor vehicles. Established in 1985, this 50-employee small business relies on exports for half of its sales. It has customers in Latin and Central America as well as the Caribbean.
The company has been using the small business export credit multi-buyer policy for the past 15 years to extend credit to its international buyers. The policy has covered about 16 buyers totaling over $1 million credit of sales annually. Ex-Im Bank support has contributed five new jobs at B & B and has supported many others.
""Ex-Im Bank helped us enter new markets. The insurance offers stability to be aggressive in offering credit,"" states Marta Burguera, Executive VP.
","April 16, 2012 - 12:15pm","Small Business Export Credit Insurance","http://www.exim.gov/products/insurance/index.cfm, http://www.exim.gov/products/exportcreditinsurance/smallbusinessinsurance" 
"Rhode Island Jeweler Grows to 153 Buyers With Ex-Im Bank's Small Business Insurance","Exporter: Dama Jewelry Technology, Inc. – Johnston, Rhode Island
Destination: 18 Countries
Jobs Supported: 15
Dama Jewelry Technology, of Johnston, Rhode Island, a company of 30 employees, manufactures components for the fashion jewelry industry. When Dama obtained an Ex-Im Bank small business multi-buyer insurance policy in 1995, they had limited international sales. By 2011, they had established a diversified customer base, exporting to 153 buyers in 18 countries.
This international growth is reflected in Dama's insurance policy limits which have grown from $250,000 in 1995 to $600,000 in 2011. These figures are quite impressive as most of Dama's shipments are under $14,000. Exports are expected to slow down and only grow 10% over the next few years.
Exports now comprise 70% of Dama's sales with Hong Kong, South Korea and Thailand being its primary markets. Their international buyers sought open account terms just like Dama's United States' buyers. By extending credit, Dama demonstrated their trust in its customers.
""Foreign buyers want open account terms just like our U.S. customers. Plus, the insurance makes you sleep better at night,"" claims Marcos Fountoulakis, President of Dama.
","April 16, 2012 - 12:00pm","Small Business Multi-Buyer Insurance","http://www.exim.gov/products/insurance/index.cfm, http://www.exim.gov/products/exportcreditinsurance/multibuyer" 
"Small South Carolina Lumber Company Grows from Ex-Im Bank's Express Insurance ","Exporter: Cameron Lumber Company - Cameron, South Carolina
Destination: Egypt and Jordan
Jobs Created: 11
Cameron Lumber Company (CLC) is a veteran-owned, small business located in Cameron, South Carolina. CLC has spent the last 60 years producing timber and lumber from southern yellow pine. Its sawmill plant produces 15 million board feet per year. CLC benefitted from Ex-Im Bank's Express Multi-Buyer Insurance Policy in June, 2011. With the ability to extend terms to its customers, the company gained 11 new employees as a result of this transaction.
""Our overseas customers expressed interest in open market terms with our company. I attended a seminar in Charleston with Ex-Im Bank, where I received export assistance. Since then, Ex-Im Bank has allowed our company to extend better credit terms to our customers,"" said Randy Hunt, Vice President of CLC. 
","April 16, 2012 - 12:00pm","Express Multi-Buyer Insurance Policy","http://www.exim.gov/products/insurance/multi_buyer.cfm" 
"South Carolina Company Uses New Express Insurance Financing to Increase Presence in Foreign Markets","Exporter: Bridge to Life, Inc. (BTL) – Columbia, South Carolina
Destination: Middle East and Asia
Jobs Supported: 6
Bridge to Life (BTL), a Columbia, S.C. company, was established in 2005 with just six employees and has pioneered new products and services advancing the science of human organ preservation on behalf of the transplant community. The company exports Belzer UW Organ Preservation and Machine Perfusion Solutions, solutions used for organ preservation when being transferred for transplants. BTL began exporting in 2009 with markets in Dubai, China, and Colombia, primarily relying on distributors in those countries.
In May, 2011, the company obtained a $300,000 Ex-Im Bank Express Insurance policy when looking to enter new foreign markets and increase sales. Since using this policy, BTL has expanded its markets to Turkey, India, Pakistan, Middle East, and Thailand. The policy also supported a $45 million expansion, adding 70 American jobs.
""The Ex-Im Bank collaboration has become a main component of our international expansion,"" said the company's Chief Commercial and Business Development Officer John Bruens. ""We can now concentrate on increasing our export volume, instead of trying to just find a distributor.""
","April 16, 2012 - 11:30am","Express Insurance","http://www.exim.gov/products/insurance/express.cfm, http://www.exim.gov/products" 
"Increasing Power Reliability in South Africa","For several years, USTDA has partnered with South Africa's eThekwini Electricity, a leading domestic power distribution company, to promote and implement energy efficiency strategies for the modernization and expansion of its grid. USTDA-funded technical assistance included a plan for an integrated information technology (IT) system to allow the company to tie customer data with supply information in real time.
eThekwini Electricity awarded the first phase of the project—a multimillion dollar outage management system—to General Electric following an open tender process. U.S. companies also will be able to compete in subsequent phases expected to be implemented in 2011.
In addition to creating opportunities for U.S. technology providers, USTDA's partnership with eThekwini Electricity enables more cost-effective service and faster response to network and system problems for the utility's 630,000 residential and commercial customers.
","April 16, 2012 - 10:15am","USTDA Supports Energy Efficiency Strategies for Leading Domestic Power Distribution Company","http://www.ustda.gov/program/regions/subsaharanafrica/, http://www.ustda.gov/program/regions/subsaharanafrica/USTDARegionalBrief_SubSaharanAfrica.pdf" 
"Brighter Sales in South Africa","In 2010, USTDA worked with representatives of the public and private sectors in South Africa to reduce energy consumption by investing in energy efficient technologies. This program included a training session in South Africa and a reverse trade mission that introduced delegates to energy efficient technologies, equipment, and best practices. Based on this experience and a relationship forged during the reverse trade mission to the United States, the General Manager of Store Development for Pick n Pay, a grocery chain in South Africa with over 700 stores, placed a breakthrough order for energy efficient skylights from Sunoptics (Sacramento, CA) to enhance natural lighting for its new flagship store that opened in October 2010. Use of these patented prismatic skylights is estimated to reduce energy costs by 70% to 80%. It is anticipated that the initial sales for Sunoptics will lead to future orders in South Africa.
","April 16, 2012 - 10:00am","USTDA Investment in Energy Efficient Technologies","http://www.ustda.gov/program/regions/subsaharanafrica/, http://www.ustda.gov/program/regions/subsaharanafrica/USTDARegionalBrief_SubSaharanAfrica.pdf" 
"Supporting U.S. Manufacturing Jobs","In 2002, Rudi Roeslein, Chief Executive Officer of Roeslein & Associates, approached USTDA to fund a feasibility study on the construction of a two-piece can manufacturing facility in Nigeria. At the time Roeslein & Associates was looking to expand into emerging economies, but the company was too small to fund a study on market potential in a country like Nigeria. As a result, USTDA provided $251,080 for Roeslein to conduct a feasibility study to determine if the financial, economic and design of the facility would support the building of the only can making facility in Sub-Saharan Africa. In manufacturing the canning facility, Roeslein builds the modular pieces in Red Bud, Illinois, about 25 miles southeast of St. Louis. Once assembled the individual can manufacturing modules are then shipped in standard shipping containers, and connected on-site to form a full two-piece can manufacturing facility. This type of factory design allows for technical work to be exported, and is easier to assemble than more traditional factory designs where the entire facility is constructed on-site.
Ultimately, Roeslein & Associates partnered with GZ Industries, an Israeli company, along with Ex-Im Bank, to finance and construct the $61 million facility, which is now the process of being erected in Nigeria. Of the total construction costs, $30 million was awarded to Roeslein & Associates to construct the two-piece can manufacturing equipment. 
Based on this success, Roeslein and Associates refunded USTDA the full amount of the grant and said that “this project was a priority for our company and presented a real opportunity for our employees to apply their expertise and experience in establishing a world-class can manufacturing facility in Nigeria,” and that “USTDA's support served as a catalyst in moving the project forward and in providing the bankable documents necessary for the project to succeed.” This contract was able to keep 200 workers employed in Red Bud, IL while also resulting in an estimated 125 jobs created in Nigeria. The new can manufacturing facility opened in September 2009.
","April 13, 2012 - 3:45pm","USTDA Funds Study on the Construction of a Two-Piece Can Manufacturing Facility in Nigeria","http://www.ustda.gov/program/regions/subsaharanafrica/, http://www.ustda.gov/program/regions/subsaharanafrica/USTDARegionalBrief_SubSaharanAfrica.pdf" 
"USTDA Brings Broadband Access to Africa","As a direct result of USTDA's investment in the visit of a ministerial-level delegation to the United States and a regional ICT conference, over $400 million in U.S. equipment and services exports were utilized by African project managers to bring broadband communications to Africa. Without an undersea fiber-optic cable system, countries in the region relied on costly and scarce satellite links, which could not meet increasing demand for broadband communications services.
USTDA's multi-year effort to support the development of an undersea fiber-optic cable linking East Africa with communication hubs around the world proved successful when a group of African ministers visited the United States, as part of a USTDA-funded program, and convinced potential financiers, including Sithe Global that fiber-optic cable connecting East Africa to the rest of the world could be commercially attractive.
In June 2009, SEACOM became operational offering 1.2 terabytes per second of capacity to enable peer-to-peer networks, IPTV, and high-speed internet access. The 13,700km cable links South Africa, Mozambique, Tanzania, Kenya and Djibouti with India and Egypt. ""The system, which was designed and installed using Tyco Telecommunications' state-of-the-art technology, will undoubtedly provide businesses and citizens in South and East Africa alike with the capabilities they need to communicate with the rest of the world and participate in the global marketplace,"" said Debbie Brask, Managing Director of Project Management for Tyco Telecommunications.
As described by SEACOM's Chief Executive Officer Brian Herlihy, USTDA's multi-year effort was critical to SEACOM's launch. ""The impetus for the cable project is directly attributable to Sithe Global's participation at the half-day briefing sponsored by the USTDA visit.""
The impact of broadband worldwide and the timeliness of the USTDA-sponsored meetings and conference provided a confluence of factors that pushed the imperative for African countries to liberalize the market for all consumers, including American companies, resulting in increased opportunities to do business overseas.
","April 13, 2012 - 3:30pm","USTDA's Extensive Effots Support East Africa with communication hubs around the world.","http://www.ustda.gov/program/regions/subsaharanafrica/, http://www.ustda.gov/program/regions/subsaharanafrica/USTDARegionalBrief_SubSaharanAfrica.pdf" 
"PetroVietnam Awards Contract to U.S. Firm to Build New Refinery Complex","To assist PetroVietnam in building its Nghi Son Refinery, USTDA organized a reverse trade mission to the United States for senior procurement officials, introducing them to leading petrochemical companies who could play a leading role in its implementation. Based on business connections made during the visit, UOP, a U.S. company based in Des Plaines, Illinois, received a technology licensing contract which has resulted in over $20 million in new exports to Vietnam for the implementation of the Nghi Son Refinery. As construction continues, U.S. companies are positioned to win contracts totaling over $330 million to provide gas and steam turbines, compressors, and pumps. Construction of the refinery began in April 2010 and will be operational by the end of 2013. Once the refinery comes online it will meet 50 percent of the domestic demand for oil products in Vietnam, strengthening Vietnam's national energy security.
","April 13, 2012 - 3:15pm","","http://www.ustda.gov/program/regions/southasia/, http://www.ustda.gov/program/regions/southasia/USTDARegionalBrief_SouthAsia.pdf" 
"Vietnam Airlines Awards Contract to Sabre Holdings Following USTDA-Funded Assistance","Sabre, Inc. of Southland, Texas, won a contract valued at nearly $54 million to supply its Internet booking engine, and e-commerce and passenger service systems to Vietnam Airlines. This success was made possible by a USTDA-funded technical assistance program conducted by Unisys Corporation, based in Blue Bell, Pennsylvania.
The recommendations developed by Unisys outlined the necessary systems upgrades and procedures for Vietnam Airlines to comply with the International Air Transport Association's (IATA) Simplifying the Business (StB) program, a global e-commerce initiative for the airline industry. The StB program strives to establish global standards, cost reduction measures, and international consistency to simplify airline processes pertaining to e-ticketing, boarding passes, IATA e-freight, and similar operations.
Implementation of the systems is underway and is expected to be completed by mid-2009. By implementing Sabre's solutions, Vietnam Airlines will be able to better serve its expanding aviation market, enter into code-sharing with other compliant international carriers, and modernize its operations.
 Printer Friendly Version
","April 13, 2012 - 3:15pm","","http://www.ustda.gov/program/regions/southasia/, http://www.ustda.gov/program/regions/southasia/USTDARegionalBrief_SouthAsia.pdf" 
"Saving Lives: Integrating Disaster Warning Systems in Thailand","Prone to natural disasters,Thailand has taken steps to improve warning systems to prevent further loss of life since the Indian Ocean tsunami of 2004. USTDA is proud to have played a role in Thailand's efforts that led to the purchase of more than 270 U.S.-manufactured warning towers and other weather forecasting and disaster response equipment valued at more than $15 million.
In 2005, USTDA funded a technical demonstration project for Thailand's National Disaster Warning Center (NDWC), the central point for receiving, monitoring, processing and relaying critical information on impending natural disasters. The demonstration project helped to integrate a wide variety of hardware computer systems, software applications and weather modeling systems that were donated following the tsunami.
Importantly, the grant also facilitated a U.S.–Thai exchange that has empowered the NDWC to operate a more effective and efficient warning system. Former Chairman of the Committee for the National Disaster Warning Administration Dr. Smith Dharmasaroja said, ""These collaborations and relationships will certainly continue and step forward into multi-hazard warning capacity to help save more lives of the people of Thailand and the region.""
","April 13, 2012 - 3:15pm","USTDA efforts result led topurchase of more than 270 U.S.-manufactured warning and disaster response equipment valued at more than $15 million","http://www.ustda.gov/program/regions/southasia/, http://www.ustda.gov/program/regions/southasia/USTDARegionalBrief_SouthAsia.pdf" 
"Clean Energy, Clear Benefits in Thailand","In recent years, USTDA has helped Thailand's state-owned oil and gas company, PTT, identify the optimum design and specifications for the country's first liquefied natural gas (LNG) receiving terminal at Map Ta Phut. This terminal is needed to meet Thailand's growing requirements for clean gas fuels and to avoid additional coal-based power generation. As a result of a USTDA-funded feasibility study conducted by Pace Global Energy, full project implementation is now underway on this $1 billion project. To date, at least 22 U.S. companies from 13 states have entered into contracts to provide services and technologies critical to the success of the terminal
","April 13, 2012 - 3:15pm","USTDA funds feasibility resulting in $1 billion project","http://www.ustda.gov/program/regions/southasia/, http://www.ustda.gov/program/regions/southasia/USTDARegionalBrief_SouthAsia.pdf" 
"Biomicrobics: Fast Results in the Philippines","In June 2010, during an environmental workshop in the Philippines, USTDA introduced representatives from the Manila Water Company (MWC) to Bio-Microbics, a small business headquartered in Shawnee, Kansas. As a direct result of this workshop and an ongoing USTDA-funded feasibility study on wastewater treatment facilities in the Philippines, Bio-Microbics secured new sales contracts with MWC. Bio-Microbics received sales orders during the workshop itself, and company President Robert Rebori later stated that the event, ""resulted in immediate and likely long-term sales for Bio-Microbics….""
","April 13, 2012 - 3:00pm","Workshop leads to Business Opportunity","http://www.ustda.gov/program/regions/southasia/, http://www.ustda.gov/program/regions/southasia/USTDARegionalBrief_SouthAsia.pdf" 
"Powering Turkey's Development with Renewable Energy ","Based on the results of a USTDA-funded investment analysis, the largest privately owned geothermal facility in Turkey became operational in May 2009. The 47.5 megawatt plant was built in the Aydin-Germencik geothermal field by the Gurmat Energy Investment and Trade Company, a private Turkish company.
During the construction of the energy facility, over $23 million in U.S. exports of goods and services from eight states were utilized, creating high paying export-related jobs in the United States. This amount includes the export of goods and services from Power Engineers (Hailey, ID) and $4.86 million in engineering and consulting service exports that were financed by the Export-Import Bank of the United States. 
According to Henry Veizades of Veizades & Associates, which has provided design work and engineering services associated with the geothermal project, ""USTDA's sponsorship was critical and enabled the project to mature quickly."" The Agency's role in moving the project forward was confirmed by Gurmat's General Manager Ali Karaduman, who stated that the USTDA-funded study provided the detailed project assessment that was critical to project definition and financing.
Since coming online, Germencik is providing Turkey with an important renewable energy source to further the country's economic growth. Importantly, up to 250 local jobs were associated with the construction and erection works and 37 jobs were generated to operate the plant. Moreover, the project has provided additional job opportunities for local Turkish people involved in improving the infrastructure surrounding the Germencik field.
","April 13, 2012 - 3:00pm","USTDA Funds Investment Analysis","http://www.ustda.gov/program/regions/mena&europe/, http://www.ustda.gov/program/regions/mena&europe/USTDARegionalBrief_MENA-Europe.pdf" 
"Treating Solid Waste in Morocco","City officials in Fes, Morocco were concerned in the late 1990s that solid waste, if not managed properly, would contribute to public health problems and poor living conditions. Responding to a request by the Communauté Urbaine de la Wilaya de Fes (CUWF), the region's inter-city government authority, USTDA recognized a long-term opportunity and funded a feasibility study to evaluate possible solutions to Fes' waste management needs. The study was conducted by Edgeboro International; a New Jersey-based environmental design, management and construction company.
Ultimately, the results of this study are contributing to more than $62 million in U.S. exports for multiple projects. Of particular importance was CUWF's decision to seek bids for the solid waste management project in Fes that opened the door for Edgeboro International (Milltown, New Jersey) and Global Environmental Sustainability, Inc. (GESI) (Princeton, New Jersey) to play a leadership role in its implementation. The 10-year management, engineering and services contract awarded for the construction and operation of a controlled landfill in Fes was the first of its kind in Morocco. This contract was extended in 2007 for another 20 years to recover and reuse the biogas from the landfill by generating approximately 3 megawatts of electricity that could be used for public lighting and reducing approximately 100,000 tons per year of greenhouse gas emissions.
Capitalizing on USTDA's previous efforts, Edgeboro and GESI recently were awarded an 18-year contract for the closure of the old landfill and the construction and operation of a new controlled landfill in Casablanca, the largest in Morocco. The Casablanca project will produce approximately 6 megawatts of electricity and reduce approximately 400,000 tons per year of greenhouse gas emissions.
GESI's President, Dr. Ahmed Hamidi, credits USTDA for setting the stage for these activities, which represent the first privatization of waste management in Morocco. Dr. Hamidi concluded, ""USTDA's initial efforts resulted in the closure of old open dumps, the construction of new state of the art controlled landfills, the reduction of greenhouse gas emissions, and the generation of revenues to several Moroccan communities by the sale of electricity and carbon credits generated from the solid waste.""
","April 13, 2012 - 2:45pm","USTDA funds feasibility study to evaluate possible solutions to waste management needs","http://www.ustda.gov/program/regions/mena&europe/, http://www.ustda.gov/program/regions/mena&europe/USTDARegionalBrief_MENA-Europe.pdf" 
"Egyptian Ammonia Plant Opens Following USDTA-Funded Study.","An ammonia production plant in Ain Sokhna, Egypt, was constructed using more than $275 million in U.S. exports of goods and services. A USTDA-funded early investment analysis for the project sponsor, Egypt Basic Industries Corporation (EBIC), laid the ground work for EBIC to move forward with this project, which is providing significant economic benefits to the Egyptian economy. 
The project is part of an effort to increase Egypt's fertilizer output to meet growing domestic and international demands. The USTDA-funded study, which was conducted by the M.W. Kellogg Technology Company, now Kellogg Brown & Root Company (KBR), provided the foundation for the development of a modern fertilizer plant that utilizes KBR technology and conforms to new environmental laws. Based upon the completed study, the Export-Import Bank of the United States approved a $229 million long-term guarantee to support KBR's offer to build the plant. To date, 33 U.S. companies in 11 states have realized business as KBR suppliers in the engineering and construction of the plant. 
EBIC Chairman Basil Elbaz and Managing Director Dr. Amr Hassaballah noted that USTDA's assistance was an effective catalyst in moving the project forward. ""USTDA fueled a first step…and provided a roadmap for us to follow,"" they said.
The plant began operation in 2009 and is producing 2,000 metric tons of ammonia per day. Based on the plant's progress so far, EBIC has taken preliminary steps toward replicating the project on a larger scale, which may lead to significant additional U.S. exports in the future.
","April 12, 2012 - 3:45pm","USTDA-funded early investment analysis for the project ","http://www.ustda.gov/program/regions/mena&europe/, http://www.ustda.gov/" 
"Reverse Trade Mission Connects U.S Companies with Sales Opportunities in Brazil’s Rail Sector ","USTDA played a pivotal role in the sale of 55 General Electric locomotives which were manufactured in Grove City and Erie, PA, to MRS Logística, a Brazilian rail company. By sponsoring a reverse trade mission for 10 delegates from the Brazilian rail sector to the United States, USTDA provided a forum for procurement decision makers to examine U.S. capabilities in the area of railroad rehabilitation and modernization.
The visit was prompted by the interest of Brazilian rail companies in making significant upgrades to their rolling stock, communications and signaling systems, track and other infrastructure. Based on these needs, the itinerary was structured to inform U.S. companies about export opportunities in the Brazilian rail sector and to facilitate direct contact with key decision makers.
During the reverse trade mission, the delegates traveled to Pennsylvania for site tours, including one to the GE Transportation diesel engine manufacturing plant in Grove City. GE's transportation business recognized the importance of this initial contact leading up to its sales activity to MRS Logística. ""The visit by the Brazilian rail officials helped us to establish the lasting contacts necessary to tap into an important emerging market. We look forward to building on these relationships for many years to come,"" said Robert Parisi, General Manager of International Locomotives and Modernizations at GE Transportation.
","April 12, 2012 - 3:30pm","","http://www.ustda.gov/" 
